;Random numbers from 0 to 7;;Random numbers from 0 to 32767;;Almost sorted array;;Reverse sorted array;
;Average;Max;Average;Max;Average;Max;Average;Max;
1000;1247909;2442762;1468536;1726718;808689;10996654;1631669;15856216;
2000;4864331;8032255;6147609;32053550;2747195;5657716;5945305;6937057;
3000;12036451;12913552;14046127;16549318;6747691;32888533;13623341;31683453;
4000;24414461;43995068;27579691;51921668;10699199;14983802;24225500;50875373;
5000;42997720;62383402;47312497;76703685;17210524;42695804;37330205;45247241;
6000;69307725;94142926;72100684;97598173;24051591;53589218;54783641;87893538;
7000;97149726;141227973;103678988;134856628;36700092;77280263;79155315;107310052;
8000;138887511;174689462;142255165;196140001;42559828;71088835;97785448;140678564;
9000;180194781;247728401;202112843;281395767;57898675;107208622;125729169;156162268;
